blob,area,cx,cy,orientation,,blob,area,cx,cy,orientation,Cell->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,441,215.5170068,40.23356009,78.08407707,,1,441,172.5170068,29.23356009,78.08407707,,44.38468204,56.29387178,13.41640786,103.8171469,114.9478142,75.66372975,53.23532662,69.65629907,98.84331035,105.4751155,90.19977827,137.4408964,166.0271062,141.6933308,131.0953851,139.140217
2,441,117.5170068,41.23356009,78.08407707,,2,441,65.5170068,35.23356009,78.08407707,,150.0833102,52.34500931,101.1780609,8.062257748,47.26520919,70.83784299,112.3076133,158.4455743,171.4322023,98.79271228,131.3659012,85.0940656,125.09996,135.7718675,161.3350551,196.6646893
3,441,166.5170068,41.23356009,78.08407707,,3,441,215.5170068,40.23356009,78.08407707,,0,98.00510191,49.01020302,146.013698,150.9602597,105.7024125,63.78087488,43.01162634,78,125.876924,92.96235797,166.4812302,188.2153022,154.3016526,129.2439554,121.0041322
4,441,69.5170068,42.23356009,78.08407707,,4,441,127.5170068,41.23356009,78.08407707,,88.00568163,10,39,58.00862005,70.21395873,41.97618372,57.28001397,98.41239759,116.9316039,78.63841301,87.20665112,98.00510191,131.946959,119.3398508,125.5428214,149.4021419
5,441,70.5170068,82.23356009,78.08407707,,5,585,223.3521368,75.03589744,79.26308731,,35.67340671,111.1020825,66.12737713,157.2934854,153.0045205,105.0819243,56.29714099,10.67336285,43.9024751,114.693104,71.99767622,160.3373815,174.9777662,135.0890306,101.8636513,86.46823722
6,441,118.5170068,82.23356009,78.08407707,,6,584,171.4006849,75.80479452,79.62340159,,56.67065003,64.02047343,34.91447496,107.2721383,101.0883057,53.27299916,7.510791074,45.72383467,61.2082511,69.20627463,43.70249411,111.1494448,131.5512561,99.62379168,84.51804193,96.61033323
7,441,167.5170068,82.23356009,78.08407707,,7,441,118.5170068,82.23356009,78.08407707,,105.7024125,41.01219331,63.12685641,63.2534584,48,0,49,98.00510191,103.4649699,37.01351105,60.6052803,62.00806399,91.58602513,78,92.11405973,125.876924
8,441,216.5170068,83.23356009,78.08407707,,8,641,67.96723869,86.44305772,78.23146586,,154.6164666,67.07516825,108.424884,44.23665293,4.92150259,50.72473683,99.63872842,148.5844355,150.9356489,59.41714034,103.8618016,33.82602299,73.83454176,89.44449282,123.9160787,166.3149207
9,441,215.5170068,118.2335601,78.08407707,,9,441,215.5170068,118.2335601,78.08407707,,78,124.6314567,91.26883367,164.5964763,149.4021419,103.4649699,60,35.0142828,0,98.00510191,49.01020302,146.013698,150.9602597,105.7024125,63.78087488,43.01162634
10,441,117.5170068,119.2335601,78.08407707,,10,441,117.5170068,119.2335601,78.08407707,,125.876924,78,92.11405973,90.73588044,59.81638571,37.01351105,62.20128616,105.3422992,98.00510191,0,49,48.01041554,62.36986452,41.01219331,64.66065264,107.54069
11,441,166.5170068,119.2335601,78.08407707,,11,441,166.5170068,119.2335601,78.08407707,,92.96235797,92.11405973,78,123.8466794,102.8834292,60.6052803,37.01351105,61.6116872,49.01020302,49,0,97.0051545,104.3886967,63.12685641,41.01219331,65.29931087
12,441,69.5170068,120.2335601,78.08407707,,12,419,64.51789976,124.7852029,77.52026126,,173.0598469,98.94332902,131.8510328,82.70287054,42.9724515,68.74987901,111.4426236,157.5762278,151.1411736,53.28908035,102.1500787,6.760807877,35.95240347,64.59481087,108.9284264,156.3080653
13,441,70.5170068,160.2335601,78.08407707,,13,441,174.5170068,161.2335601,78.08407707,,127.7575829,132.849539,120.266371,158.7009767,130.6024502,96.83491106,79.30952024,88.58893836,59.41380311,70.80254233,42.75511665,112.7208942,104.0048076,56.00892786,7.071067812,42
14,441,118.5170068,160.2335601,78.08407707,,14,441,225.5170068,162.2335601,78.08407707,,122.40915,162.1881623,134.617978,196.8146336,174.4276354,133.6001497,98.81295462,79.51100553,45.12205669,116.24543,73.00684899,161.5549442,155.0129027,107.01869,58.03447251,9.055385138
15,441,167.5170068,160.2335601,78.08407707,,15,441,128.5170068,165.2335601,78.08407707,,152.2957649,124.4869471,129.6919427,136.4184738,101.2570985,83.60023923,91.70605214,120.2829996,98.88377015,47.29693436,59.66573556,74.20242584,58.21511831,11.18033989,39.3192065,88.09086218
16,441,216.5170068,161.2335601,78.08407707,,16,441,82.5170068,166.2335601,78.08407707,,183.2075326,129.8075499,150.6021248,124.6795893,84.85281374,91.38927727,119.503138,157.6229679,141.3966053,58.6003413,96.25487001,47.80167361,13.41640786,36.49657518,85.21150157,134.0932511
,,,,,,,,,,,Deviation->,0,10,13.41640786,8.062257748,4.92150259,0,7.510791074,10.67336285,0,0,0,6.760807877,13.41640786,11.18033989,7.071067812,9.055385138
